keys,en,ja,fr
showcase_start_welcome,"Welcome, {hero_name}. I'm the keeper of the harbor lights.",ようこそ、{hero_name}。私は港の灯を守る者です。,"Bienvenue, {hero_name}. Je veille sur les feux du port."
showcase_start_listen,[b]Listen[/b] — the tide brings [color=skyblue]stories[/color] and [i]secrets[/i].,[b]聞いて[/b] — 潮は[color=skyblue]物語[/color]と[i]秘密[/i]を運んでくる。,[b]Ecoute[/b] — la maree apporte des [color=skyblue]histoires[/color] et des [i]secrets[/i].
res://game/dialogue_demo/scenarios/showcase.dlg::4,Show me around,案内してほしい,Montre-moi les lieux
res://game/dialogue_demo/scenarios/showcase.dlg::5,I've walked these docks before,この波止場には来たことがある,J'ai deja arpente ces quais
showcase_return_greeting,"Back again, {hero_name}? Good — you won't need the full tour.",また来たのか、{hero_name}？ よし — 今度は案内は要らないだろう。,"De retour, {hero_name} ? Bien — tu n'auras pas besoin de la visite complete."
showcase_tour_typewriter,Words arrive letter by letter — that's the typewriter at work.,文字が一つずつ現れる — それがタイプライターの仕事だ。,Les mots arrivent lettre par lettre — c'est l'effet machine a ecrire.
showcase_tour_voice,"And sometimes, a line carries a voice.",そして時には、一行に声が宿る。,"Et parfois, une ligne porte une voix."
showcase_tour_bell,Hear that? The harbor bell — sent with @emit.,聞こえるか？ 港の鐘 — @emitで送った。,Tu entends ? La cloche du port — envoyee avec @emit.
showcase_hub_where,"Where next, {hero_name}?",次はどこへ行く、{hero_name}？,"Ou veux-tu aller, {hero_name} ?"
res://game/dialogue_demo/scenarios/showcase.dlg::21,The branching pier,分岐する波止場へ,Le quai des embranchements
res://game/dialogue_demo/scenarios/showcase.dlg::22,Pick from what's available,表示される選択肢を試す,Choisir parmi les options disponibles
res://game/dialogue_demo/scenarios/showcase.dlg::23,Visit the general store,雑貨店へ向かう,Visiter le magasin general
res://game/dialogue_demo/scenarios/showcase.dlg::24,Watch the waterfront,水辺を眺める,Observer le front de mer
res://game/dialogue_demo/scenarios/showcase.dlg::25,Earn a veteran's mark,古参の印を得る,Gagner une marque de veterane
res://game/dialogue_demo/scenarios/showcase.dlg::26,Look for secrets,秘密を探す,Chercher des secrets
res://game/dialogue_demo/scenarios/showcase.dlg::27,A hidden alley,隠れた路地へ,Une ruelle cachee
res://game/dialogue_demo/scenarios/showcase.dlg::28,Rest at the inn,宿で休む,Se reposer a l'auberge
res://game/dialogue_demo/scenarios/showcase.dlg::29,End for now,ここで終える,Arreter pour l'instant
showcase_pier_if_mark,Your veteran's mark glows — the IF branch opens wide.,あなたの古参の印が輝いている — IF分岐が大きく開く。,Ta marque de veterane brille — la branche IF s'ouvre en grand.
showcase_pier_else,No mark yet — the ELSE path keeps you on the common route.,まだ印はない — ELSEの道が通常ルートを守っている。,Pas encore de marque — la branche ELSE te garde sur la route commune.
res://game/dialogue_demo/scenarios/showcase.dlg::36,Mark me as a veteran,古参として印を付けてくれ,Marque-moi comme veterane
res://game/dialogue_demo/scenarios/showcase.dlg::37,Return to the harbor,港へ戻る,Retourner au port
showcase_veteran_earned,Mark earned. Brace display reads {showcase_flag_display}.,印を獲得した。ブレース表示は {showcase_flag_display}。,Marque obtenue. L'affichage d'accolade indique {showcase_flag_display}.
showcase_conditional_board,Only paths you're qualified for appear on the board.,資格のある道だけが掲示板に現れる。,Seules les routes que tu peux suivre apparaissent sur le panneau.
res://game/dialogue_demo/scenarios/showcase.dlg::46,Open to all,誰でも進める道,Ouvert a toutes et tous
res://game/dialogue_demo/scenarios/showcase.dlg::47,The brass-key route,真鍮の鍵ルート,La route de la cle en laiton
res://game/dialogue_demo/scenarios/showcase.dlg::48,Find a brass key,真鍮の鍵を探す,Trouver une cle en laiton
showcase_key_grant,A brass key warms your palm.,真鍮の鍵が手のひらを温める。,Une cle en laiton rechauffe ta paume.
showcase_key_route,The lock yields — inventory checks work.,錠前が開く — 所持品チェックは機能している。,La serrure cede — les verifications d'inventaire fonctionnent.
showcase_secret_gap,You notice a narrow gap between the warehouses.,倉庫の間に狭い隙間に気づく。,Tu remarques une etroite faille entre les entrepots.
showcase_hidden_alley,Few find this alley. Worth the detour.,この路地を見つける者は少ない。寄り道の価値あり。,Peu trouvent cette ruelle. Le detour en vaut la peine.
showcase_shop_welcome,Welcome to the general store. What can I do for you?,一般商店へようこそ。何をお手伝いしましょうか？,Bienvenue au magasin general. Que puis-je faire pour toi ?
res://game/dialogue_demo/scenarios/showcase.dlg::70,Buy supplies,物資を買う,Acheter des provisions
res://game/dialogue_demo/scenarios/showcase.dlg::71,Sell goods,品物を売る,Vendre des biens
res://game/dialogue_demo/scenarios/showcase.dlg::72,Talk,話す,Discuter
res://game/dialogue_demo/scenarios/showcase.dlg::73,Leave,帰る,Partir
showcase_shop_buy,Let me show you today's stock.,今日の品揃えをお見せしよう。,Laisse-moi te montrer le stock du jour.
showcase_shop_sell,What are you willing to part with?,何を手放す気だ？,Que veux-tu ceder ?
showcase_shop_talk,Trade keeps this harbor alive.,商いがこの港を生かしている。,Le commerce fait vivre ce port.
showcase_waterfront_hold,Hold still — let the scene breathe.,じっとしていて — シーンに息を吹き込もう。,Reste immobile — laisse la scene respirer.
showcase_waterfront_cutscene,A cutscene passes. The camera pans. The harbor guide waves. Quest *demo_quest* is complete.,カットシーンが過ぎる。カメラがパンする。港の案内人が手を振る。クエスト *demo_quest* 完了。,Une cutscene passe. La camera panore. Le guide du port salue. La quete *demo_quest* est terminee.
showcase_inn_fire,You sit by the fire — a quiet moment to save progress from the panel.,炉端に座る — パネルから進行を保存する静かなひととき。,Tu t'assieds au coin du feu — un moment calme pour sauvegarder depuis le panneau.
showcase_inn_resume,"Step away with Cancel, then use Resume when you're ready.",Cancelで離れ、準備ができたらResumeを使って。,"Pars avec Cancel, puis utilise Resume quand tu es pret."
